"TransID","Date","CustomerID","ProductID"
1,2018-09-01,5,1
2,2018-09-01,9,2
3,2018-09-01,27,2
4,2018-09-01,31,2
5,2018-09-01,53,2
6,2018-09-01,62,2
7,2018-09-01,65,2
8,2018-09-01,71,3
9,2018-09-01,73,1
10,2018-09-01,82,1
11,2018-09-01,92,1
12,2018-09-01,100,2
13,2018-09-01,123,4
14,2018-09-01,128,4
15,2018-09-01,133,2
16,2018-09-01,150,2
17,2018-09-01,152,2
18,2018-09-01,157,2
19,2018-09-01,158,4
20,2018-09-01,175,2
21,2018-09-01,187,3
22,2018-09-01,192,2
23,2018-09-01,201,3
24,2018-09-01,212,3
25,2018-09-02,216,1
26,2018-09-02,218,4
27,2018-09-02,233,2
28,2018-09-02,249,2
29,2018-09-02,255,2
30,2018-09-02,256,3
31,2018-09-02,261,1
32,2018-09-02,262,1
33,2018-09-02,263,2
34,2018-09-02,277,2
35,2018-09-02,279,2
36,2018-09-02,286,2
37,2018-09-02,291,2
38,2018-09-02,307,4
39,2018-09-02,316,2
40,2018-09-02,317,2
41,2018-09-02,319,4
42,2018-09-02,322,2
43,2018-09-02,325,1
44,2018-09-02,336,1
45,2018-09-02,338,2
46,2018-09-02,345,1
47,2018-09-03,348,3
48,2018-09-03,351,1
49,2018-09-03,361,1
50,2018-09-03,363,1
51,2018-09-03,367,3
52,2018-09-03,377,3
53,2018-09-03,382,1
54,2018-09-03,387,1
55,2018-09-03,390,2
56,2018-09-03,394,1
57,2018-09-03,407,1
58,2018-09-03,410,1
59,2018-09-03,416,4
60,2018-09-03,420,2
61,2018-09-03,429,1
62,2018-09-03,436,2
63,2018-09-03,442,4
64,2018-09-03,448,1
65,2018-09-03,449,4
66,2018-09-04,451,2
67,2018-09-04,454,1
68,2018-09-04,457,1
69,2018-09-04,461,4
70,2018-09-04,469,3
71,2018-09-04,470,1
72,2018-09-04,481,3
73,2018-09-04,482,1
74,2018-09-05,483,2
75,2018-09-05,484,2
76,2018-09-05,489,2
77,2018-09-05,500,2
78,2018-09-05,504,2
79,2018-09-05,539,3
80,2018-09-05,540,2
81,2018-09-05,542,3
82,2018-09-05,549,2
83,2018-09-05,553,1
84,2018-09-05,554,1
85,2018-09-05,566,4
86,2018-09-06,567,1
87,2018-09-06,570,1
88,2018-09-06,584,1
89,2018-09-06,598,3
90,2018-09-06,600,4
91,2018-09-06,603,4
92,2018-09-06,604,1
93,2018-09-06,605,1
94,2018-09-06,621,3
95,2018-09-06,627,2
96,2018-09-06,629,3
